Cibeles S.a|Cibeles SA|5||||||||
CIDEC|Facultad de Veterinaria-UDELAR|1||||||||
CIDEC/ Facultad de Veterinaria|Facultad de Veterinaria-UDELAR|1||||||||
Ciencia Viva, IMM|"Asociación Civil ""Ciencia Viva"""|9|Intendencia de Montevideo|3||||||
Ciencias Viva. IMM|"Asociación Civil ""Ciencia Viva"""|9|Intendencia de Montevideo|3||||||
City University of Hong Kong|City University of Hong Kong|2||||||||
CLACSO- Argentina|Consejo Latinoamericano de Ciencias Sociales (CLACSO)|10||||||||
CLAEH|CLAEH|1||||||||
CLAEH - PSC|CLAEH|1||||||||
Cliente particular||||||||||
Cliente privado.||||||||||
Clientes, Empresa propia||||||||||
Clínica MARKA|Clínica MARKA (ex)|5||||||||
Club Biguá de Villa Biarritz|Club Bigua|9||||||||
Club Malvín|Club Malvín|9||||||||
CNES|Centro Nacional de Estudios Espaciales (Francia)|10||||||||
CNPq|Conselho Nacional de Desenvolvimento Científico e Tecnológico|10||||||||
CNRS _Francia|Centre National de la Recherche Scientifique (CNRS)|10||||||||
COALEP|Colegio Nacional de Educación Profesional Técnica (México)|2||||||||
Cognitech, Inc. USA|Cognitech, Inc|8||||||||
ColCiencias|Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)|10||||||||
COLCIENCIAS - Fundación Centro de Investigación en Modelación Empresarial del Caribe  FCIMEC.|Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)|10||||||||
Colectivo Transit|Colectivo Transit|12||||||||
Colegio Federico García Lorca|Colegio Federico García Lorca|11||||||||
Colegio Juan Zorrilla (Hnos.Maristas)|Colegio Juan Zorrilla (Hnos.Maristas)|11||||||||
Colegio Oficial de Arquitectos de Canarias|Colegio Oficial de Arquitectos de Canarias|9||||||||
Colegio Seminario|Colegio Seminario|11||||||||
Colegio Seminario, CVX Uruguay|Colegio Seminario|11||||||||
Colegio y Liceo Pedro Poveda|Colegio y Liceo Pedro Poveda|11||||||||
COLEME|COLME Ltda|5||||||||
Colonvade|Colonvade SA|8||||||||
Columbia University|Columbia University|2||||||||
Comision 100 años Universidad de la República|Comision 100 años Universidad de la República|12||||||||
Comisión de Fomento de Escuela N° 137 Solar de Artigas de Carmelo|Comisión de Fomento de Escuela N° 137 Solar de Artigas de Carmelo|9||||||||
Comisión Económica para América Latina|Comisión Económica para América Latina y el Caribe|10||||||||
Comisión Europea|Comisión Europea|10||||||||
Comisión Sectorial de Educación Permanente - UDELAR|Comisión Sectorial de Educación Permanente-UDELAR|1||||||||
Comisión Sectorial de Enseñanza|Comisión Sectorial de Enseñanza-UDELAR|1||||||||
Comisión Sectorial de Enseñanza (CSE)|Comisión Sectorial de Enseñanza-UDELAR|1||||||||
Comisión Sectorial de Enseñanza de la UdelaR|Comisión Sectorial de Enseñanza-UDELAR|1||||||||
Comisión Sectorial de Enseñanza de la Universidad de la República|Comisión Sectorial de Enseñanza-UDELAR|1||||||||
Comisión Sectorial de Enseñanza, UdelaR|Comisión Sectorial de Enseñanza-UDELAR|1||||||||
Comisión Sectorial de Enseñanza- UDELAR|Comisión Sectorial de Enseñanza-UDELAR|1||||||||
Comisión Sectorial de Extensión y Actividades en el Medio|Comisión Sectorial de Extensión y Actividades en el Medio-UDELAR|1||||||||
Comisión Sectorial de Extension y Actividades en el Medio-UdelaR|Comisión Sectorial de Extensión y Actividades en el Medio-UDELAR|1||||||||
Comisión Sectorial de Extensión Y Actividades en el MEdio. CSEAM UDELAR|Comisión Sectorial de Extensión y Actividades en el Medio-UDELAR|1||||||||
Comisión Sectorial de Investigación Científica|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
Comisión Sectorial de Investigación Científica (Csic)|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
COMISIÓN SECTORIAL DE INVESTIGACIÓN CIENTIFICA (CSIC) - PROGRAMA DE APOYO A LA INVESTIGACIÓN ESTUDIANTIL (PAIE)|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
Comisión Sectorial de Investigación Científica (CSIC), de la UdeLAR a través de su programa artículo 2, Fondo Universitario para Contribuir a la comprensión Pública de Temas de Interés General|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
Comisión Sectorial de Investigación Científica (CSIC)-UdelaR|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
Comisión Sectorial de Investigación Científica (CSIC-UdelaR)|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
Comisión Sectorial de Investigación Científica - EUM - FCE|Comisión Sectorial de Investigación Científica-UDELAR|1|Escuela Universitaria de Música-UDELAR|1|Facultad de Ciencias Económicas y de Administración-UDELAR|1||||
Comisión Sectorial de Investigación Científica - Intendencia de Montevideo|Comisión Sectorial de Investigación Científica-UDELAR|1|Intendencia de Montevideo|3||||||
Comisión Sectorial de Investigación Científica - Sello Fonográfico Sondor|Comisión Sectorial de Investigación Científica-UDELAR|1|Sondor|5||||||
Comisión Sectorial de Investigación Científica CSIC|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
Comisión Sectorial de Investigación Científica de la UdelaR|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
Comisión Sectorial de Investigacion Científica de la Universidad de la República|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
Comisión Sectorial de Investigación Científica UDELAR|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
Comisión Sectorial de Investigación Científica  CSIC.  Udelar.|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
Comisión Sectorial de Investigación Científica, UDELAR|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
Comisión Sectorial de Investigación Científica-UdelaR|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
Comisión Sectorial de Investigación Científica: CSIC-UDELAR|Comisión Sectorial de Investigación Científica-UDELAR|1||||||||
Comisión Unesco, Montevideo Uruguay||||||||||
Como Arq. en Sección Investigación y Estadística de Dinavi, MVPS|Ministerio de Vivienda Ordenamiento Territorial y Medio Ambiente|3||||||||
Compañçia Color Persona|Compañçia Color Persona|12||||||||
Compañía Cibeles S.A.|Cibeles SA|5||||||||
Compañia FOrestal RMK|Compañia Forestal RMK|8||||||||
Compañía Nacional de Grafite|Nacional de Grafite|8||||||||
Compañía SALUS|Compañia Salus SA|5||||||||
Complex, Inc. A corporation of the state of Pennsylvania, 2425 Sidney St. Pittsburgh, PA, 15203, USA|Complexa Inc.|8||||||||
Complexa Inc.|Complexa Inc.|8||||||||
Complexa Inc. (a corporation of the state of Pennsylvania 2425 Sidney St. Pittsburgh, PA 15203, USA)|Complexa Inc.|8||||||||
Computer Connection|Computer Connection|8||||||||
Comunidad Europea|Comisión Europea|10||||||||
Comunidad eurpoea, Programa ALFA|Comisión Europea|10||||||||
CONAPROLE|CONAPROLE|5||||||||
Conaprole y Banco Interamericano de Desarrollo (BID) a través del FOMIN (Fondo Multilateral de Inversiones)|CONAPROLE|5|Banco Interamericano de Desarrollo|10|Fondo Multilateral de Inversiones|10||||
Concello de Santiago de Compostela|Concello de Santiago de Compostela|10||||||||
Concrexur|Concrexur SA|5||||||||
Concrexur S. A.|Concrexur SA|5||||||||
Congreo Nacional de Ediles|Congreso Nacional de Ediles|3||||||||
Conicet|Consejo Nacional de Investigaciones Científicas y Técnicas|10||||||||
CONICYT|Consejo Nacional de Innovación, Ciencia y Tecnología|3||||||||
CONICYT - BID|Consejo Nacional de Innovación, Ciencia y Tecnología|3|Banco Interamericano de Desarrollo|10||||||
Conicyt - BID 1|Consejo Nacional de Innovación, Ciencia y Tecnología|3|Banco Interamericano de Desarrollo|10||||||
CONICYT - PDT- Programa de desarrollo Tecnológico|Consejo Nacional de Innovación, Ciencia y Tecnología|3||||||||
CONICYT-BID|Consejo Nacional de Innovación, Ciencia y Tecnología|3|Banco Interamericano de Desarrollo|10||||||
Conicyt-BID, Proyecto 221|Consejo Nacional de Innovación, Ciencia y Tecnología|3|Banco Interamericano de Desarrollo|10||||||
Consejo Latinoamericano de Física|Consejo Latinoamericano de Física|12||||||||
Consejo Nacional de Investigaciones Científicas y Tecnológicas, empresas piloteras Franki y Viermond|Consejo Nacional de Investigaciones Científicas y Tecnológicas|10|Pilotes Franki Uruguay SA|8|Viermond|8||||
Consejo Superior de Investigaciones Científicas - CSIC - España|Consejo Superior de Investigaciones Científicas  CSIC  España|10||||||||
Consejo Superior de Investigaciones Científicas-UdelaR-Lab. Silanes|Consejo Superior de Investigaciones Científicas  CSIC  España|10|UDELAR|1|Laboratorio Silanes|8||||
Consellería de Educación de la Generalitat Valenciana|Consellería de Educación de la Generalitat Valenciana|2||||||||
Consultora Proyectos Srl.|Consultora Proyectos SRL|5||||||||
CONSUR|CONSUR|5||||||||
Controles S. A por compra de Antel|Controles SA|5||||||||
Controles S.A.|Controles SA|5||||||||
